Date,y
12/21/2008,155.82
12/28/2008,0.00
1/4/2009,155.82
1/11/2009,143.22
1/18/2009,143.22
1/25/2009,120.12
2/1/2009,120.12
2/8/2009,120.12
2/15/2009,120.12
2/22/2009,120.12
3/1/2009,120.12
3/8/2009,120.12
3/15/2009,120.12
3/22/2009,97.02
3/29/2009,97.02
4/5/2009,97.02
4/12/2009,97.02
4/19/2009,97.02
4/26/2009,97.02
5/3/2009,97.02
5/10/2009,97.02
5/17/2009,97.02
5/24/2009,97.02
5/31/2009,97.02
6/7/2009,97.02
6/14/2009,103.32
6/21/2009,103.32
6/28/2009,103.32
7/5/2009,113.82
7/12/2009,113.82
7/19/2009,113.82
7/26/2009,113.82
8/2/2009,113.82
8/9/2009,113.82
8/16/2009,113.82
8/23/2009,113.82
8/30/2009,113.82
9/6/2009,113.82
9/13/2009,113.82